Subject Code,Subject Name,Course Code,Course Name,Course Description,Course Units,Prerequisites
AAS,African American & African Studies (AAS),AAS 107A,African Descent Communities & Culture in the Caribbean & Latin America,"Origin and development of African descent communities and cultures in the Caribbean, and Latin America. Similarities and differences among African descent communities and cultures in terms of religious practices, music, and national identity.",4 units,Upper division standing.
AAS,African American & African Studies (AAS),AAS 107B,African Descent Communities & Culture in North America,"Study of the origin and development of African descent communities and cultures in the U.S.A., Canada, and Mexico.",4 units,Upper division standing.
AAS,African American & African Studies (AAS),AAS 107C,African Descent Communities & Culture in Asia,Study of the origin and development of African Descent communities and cultures in Asia.,4 units,None
AAS,African American & African Studies (AAS),AAS 107D,African Descent Communities & Cultures in Europe,Study of the origin and development of African Descent communities and cultures in Europe.,4 units,None
AAS,African American & African Studies (AAS),AAS 110,West African Social Organization,"Ecology, population, social and political organization, and culture of West Africa in the precolonial, colonial, and post-colonial periods.",4 units,None
AAS,African American & African Studies (AAS),AAS 111,Cultural Politics in Contemporary Africa,"Themes and style of new cultural forms in Africa as displayed in art, music, film and writing, especially in regard to blending of indigenous and foreign influences. Social and political forces shaping contemporary cultural expression.",4 units,AAS 012
AAS,African American & African Studies (AAS),AAS 115,Kingdoms in Contemporary African Politics,Kingdoms and monarchies in sub-Saharan Africa and their role in contemporary politics through the comparative political economy approach.,4 units,AAS 012
AAS,African American & African Studies (AAS),AAS 116,Presidential Politics in Africa,"Political leadership in sub-Saharan Africa, focusing on historical, institutional, and biographical influences and outcomes through political economy approaches.",4 units,None
AAS,African American & African Studies (AAS),AAS 123,Black Female Experience in Contemporary Society,"Black female social, intellectual, and psychological development. Black women's contributions in history, literature, and social science; life experiences of Black women and philosophical underpinnings of the feminist movement.",4 units,Upper division standing or consent of instructor.
AAS,African American & African Studies (AAS),AAS 130,Education in the African-American Community,Examination of the history of the education of African Americans in the United States. Examination and critique of contemporary theories concerning the schooling of African Americans. (Former AAS 140.),4 units,None
AAS,African American & African Studies (AAS),AAS 133,The Black Family In America,"Analysis of social science research to examine relationship between black (African-descent) family structures, patterns of functioning, and political, economic, and social conditions in the U.S.",4 units,Upper division standing or consent of instructor.
AAS,African American & African Studies (AAS),AAS 141,Psychology of the African American Experience,"Introduction to the psychological issues faced by African Americans. Description of any disparities in mental health care experienced by African American and Diaspora populations in the United States. Analysis of issues from European/Western and Afrocentric frame of reference. Emphasis on Optimal Theory, a psychological theory based on an Afrocentric world view.",4 units,AAS 010
AAS,African American & African Studies (AAS),AAS 145A,Black Social & Political Thought,Exploration and analysis of Black social and political thought in the Americas.,4 units,"AAS 010, AAS 080"
AAS,African American & African Studies (AAS),AAS 145B,Black Intellectuals,"Exposition and critical analysis of selected theoretical writings of Black intellectuals, and especially political and social thinkers, in the Americas.",4 units,"AAS 010, AAS 080, AAS 145A"
AAS,African American & African Studies (AAS),AAS 150A,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"Afro-American visual arts tradition, folk and formal, in historical and cultural context, from 1600 through Reconstruction.",4 units,Upper division standing.
AAS,African American & African Studies (AAS),AAS 150B,Afro-American Visual Arts Tradition: A Historical & Cultural Study,"Afro-American visual arts tradition, folk and formal, in historical and cultural context, from Reconstruction to the present.",4 units,Upper division standing.
AAS,African American & African Studies (AAS),AAS 151,Afro-American Vernacular Music & Verbal Arts,"Socio-political dimensions of Afro-American musical forms like spiritual, work song, minstrelsy blues, rhythm and blues, jazz, gospel, soul and contemporary pop, and related verbal arts like preaching, toasting, rapping.",4 units,None
AAS,African American & African Studies (AAS),AAS 152,Major Voices in Black World Literature,Recurrence of cultural tropes in the works of major black world authors and formation of an African-oriented canon. Principal activities include critical reading and discovery of literature as a cultural resource.,4 units,"AAS 010, AAS 012, AAS 018"
AAS,African American & African Studies (AAS),AAS 153,African Literature,Colonial and post-colonial sub-Saharan African literature and the African oral traditions from which it emerged. Genres and themes of African literature from the 19th century to the present.,4 units,Completion of Entry Level Writing Requirement (ELWR).
AAS,African American & African Studies (AAS),AAS 155A,"African-American Dance & Culture in the United States, Brazil & the Caribbean","Comparative study of the African American dance forms in the U.S.A., Brazil, Haiti, Cuba, Jamaica, Barbados, and Trinidad. Examination of ritual, folk, and popular dance forms and the socio/historical factors that have influenced these forms.",4 units,None
AAS,African American & African Studies (AAS),AAS 156,Language & Identity in Africa & the African Diaspora,"Relationship between language and identity in literature from Africa and the African Diaspora. Use of pidgins, Creoles, translation from African languages and impact of language policies.",4 units,AAS 012
AAS,African American & African Studies (AAS),AAS 157,Literature & Society in South Africa,"Political and social developments in 20th-century South Africa as illustrated by a range of South African writing. Response of different writers to race relations, impact of government policy on types and context of writing.",4 units,Upper division standing.
AAS,African American & African Studies (AAS),AAS 160,African-American Folklore,"Theory and history of African American folklore and folklife, including music, material culture, oral narrative, proverbs, and humor. African and Caribbean cultural influences on New World folk genres will be probed.",4 units,AAS 010
AAS,African American & African Studies (AAS),AAS 162,Islam in Africa & the Americas,Comparative and historical survey of Islam in the regional and cultural settings of Sub-Saharan Africa and the Americas.,4 units,"RST 060, AAS 012, AAS 110"
AAS,African American & African Studies (AAS),AAS 163,African Religions in the Americas,"Comparative study of African religious heritage in the Americas: Jamaica, Trinidad, Cuba, U.S.A., Haiti, and Brazil. Emphasis on the origins and development of Candomble, Santeria, Shango, Vodun, and Rastafarianism in the New World.",4 units,"AAS 010, AAS 015"
AAS,African American & African Studies (AAS),AAS 165,Afro-Christianity & the Black Church,"Examination of the historical role of Christian belief and practice as well as the institution of the Black Church in the experience of African Americans, from slavery to the present.",4 units,"AAS 010, AAS 015"
AAS,African American & African Studies (AAS),AAS 168,Black Documentary: History & Practice,"Study of Black documentary history and understanding of the use of the documentary form for political purposes. Discussion of documentary theory. Each student, singly or in a team, will create and carefully edit a documentary project.",4 units,"AAS 170, AAS 050"
AAS,African American & African Studies (AAS),AAS 169,History of African American Television,History of the representation of African Americans in television; how the representations reflect social and political forces in American society. Role of African Americans in actively shaping their representation.,4 units,AAS 050
AAS,African American & African Studies (AAS),AAS 170,African-American Film & Video,Comparative approach in the study of fictional film and video dealing with the African American experience drawing on film and cultural studies to examine and discuss selected works.,4 units,AAS 050
AAS,African American & African Studies (AAS),AAS 171,Black African & Black European Film & Video,"Comparative approach in the study of dramatic films and videos that treat black life in Africa and Europe. Critical attention focused on the imaginative construction of ethnicity, race, nationality, gender, and sexuality in each particular work.",4 units,"AAS 015, AAS 050, ENL 160, ENL 162"
AAS,African American & African Studies (AAS),AAS 172,Diaspora & New Black Identities,"Critical analysis about what it means to be Black/African American in the United States today. Topics include old and new diasporas, immigration, national origin, language, religion, class, education, politics, identity and cultural heritage.",4 units,None
AAS,African American & African Studies (AAS),AAS 175A,Black Documentary: History & Theory,Black documentary history and documentary theory. Use of black documentary for political purposes.,4 units,"AAS 170, AAS 050"
AAS,African American & African Studies (AAS),AAS 175B,Black Documentary Practicum,"Creation of documentary projects, with students working in production crews.",4 units,AAS 175A
AAS,African American & African Studies (AAS),AAS 176,The Politics of Resources,"Examination of the ways in which the processes of the extraction, purification and use of natural resources and the complex regimes of valuation and commodification they (re)produce lead to cooperation and conflict in contemporary Africa and beyond.",4 units,"AAS 012, AAS 110"
AAS,African American & African Studies (AAS),AAS 177,Politics of Life in Africa,"Existing (in)capacities in the structures of state and society in Africa for people to live well. Topics include institutions and practices that define state and civil society encounters in Africa; democracy, ethnicity, economic crisis, religion, citizenship, etc.",4 units,None
AAS,African American & African Studies (AAS),AAS 178,African Modernity & Globalization,"Exploration of modernity and globalization and their dimensions and impacts in/on Africa. Examination of modern necessities and constrains in Africa in relation to (neo)colonialism, transnational encounters, technology,  gender, risk, ritual, identity, culture, etc.",4 units,AAS 012
AAS,African American & African Studies (AAS),AAS 180,Race & Ethnicity in Latin America,"Social and political effects of racial and ethnic categorization in Latin America, including issues of economic production, citizenship, national belonging, and access to resources. Emphasis is on peoples of African, Indigenous, and Asian descent.",4 units,None
AAS,African American & African Studies (AAS),AAS 181,Hip Hop in Urban America,"History, aesthetics, urban context, and economics of hip-hop in the US, and its globalization. Hip-hop's four artistic elements-rap, deejaying, breakdance, and aerosol art-allow the examination of issues of race, ethnicity, and gender in youth culture and American society.",4 units,Upper division standing or consent of instructor.
AAS,African American & African Studies (AAS),AAS 182,Hip Hop Culture & Globalization,"Investigation of hip-hop youth cultures outside the United States using globalization and Cultural Studies theories. Analysis of international hip-hop sites in Africa, Asia, Europe, South America, and the Middle East through reading, discussion, and visiting virtual sites.",4 units,AAS 181
AAS,African American & African Studies (AAS),AAS 183A,"Policing, Prison, & Protest in Local Perspective","Study of the history and current state of policing, prisons and protest movements in the U.S. through Black Studies framework and methods.",4 units,None
AAS,African American & African Studies (AAS),AAS 183B,"Policing, Prison, & Protest in Global Perspective","Study of the history and current workings of police, prisons, and protest movements globally through Black Studies frameworks and methods.",4 units,None
AAS,African American & African Studies (AAS),AAS 185,Topics in African American Film,Intensive study of special topics in African American film.,4 units,"AAS 170, AAS 050"
AAS,African American & African Studies (AAS),AAS 190,Topics in African & African-Diaspora Studies,Intensive treatment of a special topic or problem in African or African Diaspora Studies.,4 units,Upper division standing in African American  African Studies (AAS) courses or consent of instructor.
AAS,African American & African Studies (AAS),AAS 192,Internship in African-American & African Studies,"Supervised internship in community, government, or private institutions, in all subject areas offered by the African American & African Studies Program.",1-8 units,Consent of instructor; completion of 12 units of upper division study in African American  African Studies (AAS) courses; upper division standing.
AAS,African American & African Studies (AAS),AAS 194HA,Special Study for Honors Students,"Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor.",4 units,Consent of instructor.
AAS,African American & African Studies (AAS),AAS 194HB,Special Study for Honors Students,"Directed reading, research and writing culminating in preparation of a senior honors thesis under the direction of faculty advisor.",4 units,AAS 194HA
AAS,African American & African Studies (AAS),AAS 197T,Tutoring in Afro-American Studies,Leading of small voluntary discussion groups affiliated with one of the department's regular courses.,1-5 units,Consent of major committee; upper division standing with major in African American  African Studies.
AAS,African American & African Studies (AAS),AAS 198,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
AAS,African American & African Studies (AAS),AAS 199,Special Study for Advanced Undergraduates,Special study for advanced undergraduates.,1-5 units,Consent of instructor.
AAS,African American & African Studies (AAS),AAS 201,Critical Foundations in African American Studies,"Introduction to history of African American Studies. Topics include: research agendas, policy implications, debates, crises, and institutional frameworks.",4 units,Graduate standing.
AAS,African American & African Studies (AAS),AAS 202,Critical Foundations in African Studies,"Introduction to the history and current organization of African Studies as area of intellectual investigation. Offers an opportunity to review research agenda and policy implications, debates, crises, and institutional frameworks surrounding the production of knowledge about Africa.",4 units,Graduate standing.
AAS,African American & African Studies (AAS),AAS 203,Critical Foundations in African Diaspora Studies,"Integrative conceptual framework includes History, Geography, Political Economy, Culture, Aesthetics as tools to investigate the African Diaspora. Engage African Diaspora theories within student's research projects understanding issues developing from the movement of Africans to the rest of the world.",4 units,None
AAS,African American & African Studies (AAS),AAS 204,Methodologies in African American & African Studies,"Relationship between theory and methodology, with emphasis on identifying relevant methodological approaches and constructing theoretically informed research projects for studying the experience of people of African descent whether on the African continent or in the rest of the world.",4 units,None
AAS,African American & African Studies (AAS),AAS 290,Special Topics in African/African Diaspora/African American Studies,"Intensive study in special thematic topics in Africa, African Diaspora, and African American Studies. Course materials to be selected by the instructor.",4 units,"AAS 201, AAS 202, AAS 203, AAS 204"
AAS,African American & African Studies (AAS),AAS 298A,Directed Group Study in African American & African Diaspora Studies,Group study.,1-5 units,Graduate standing.
AAS,African American & African Studies (AAS),AAS 298B,Directed Group Study in African Studies,Directed group study in African Studies.,1-5 units,None
AAS,African American & African Studies (AAS),AAS 299,Directed Research,Directed research.,1-12 units,None
AAS,African American & African Studies (AAS),AAS 396,Teaching Assistant Training Practicum,Teaching assistant training practicum.,1-4 units,Consent of instructor; graduate standing.
AGC,Agricultural & Environmental Chemistry (AGC),AGC 290,Seminar,"Selected topics in agricultural and environmental chemistry, presented by students.",1 unit,None
AGC,Agricultural & Environmental Chemistry (AGC),AGC 298,Group Study,"The chemistry and biochemistry of foods, nutritional chemicals, pesticides, and other special topics as they apply to agricultural and environmental chemistry.",1-5 units,Consent of instructor.
AGC,Agricultural & Environmental Chemistry (AGC),AGC 299,Research,Arrangements should be made well in advance with a faculty member of the Group in Agricultural & Environmental Chemistry.,1-12 units,None
TAE,Agricultural & Environmental Technology (TAE),TAE 010,Introduction to Agricultural & Environmental Technologies,"Technologies of agriculture and the environmental sciences. History & revolution of industrial technology and its impacts on agriculture, environment, energy, and bioproducts; types of sensing technologies; communication and information transfer technologies; artificial intelligence, technologies for control of automatic processes; technologies for the production of food, bioproducts, clean energy and water purification; gene-editing technology; wearable technologies.",3 units,None
TAE,Agricultural & Environmental Technology (TAE),TAE 014,Introduction to Wearable Materials & Bioproducts,"Technical terminologies describing chemical structures and properties of polymers, biopolymers, fibers and fabrics. Introduction to manufacturing processes, colorations, coating, printing, and basic performances of fibers and fabrics, and properties for functional wearable products.",4 units,CHE 002B
TAE,Agricultural & Environmental Technology (TAE),TAE 020,Sustainable Energy Technologies,"Sustainable and efficient energy technologies and their application in agriculture and other sectors. Basic principles of energy efficiency, conservation, and conversion technologies using solar, wind, water, biomass, geothermal, and other renewable sources. Environmental impacts and energy policy. Experiential learning about solar drying, controlled environment agriculture, net-zero energy building, electricity generation, energy storage, biofuels, and integrated waste management; field visits.",4 units,None
TAE,Agricultural & Environmental Technology (TAE),TAE 030,Mobile Communication & Computing Technologies for Agriculture & the Environment,"Modern computer technologies and the applications of sensing technologies and the Internet of Things (IoT) in agriculture and the environment. IoT and embedded devices; history and evolution of IoT, communication, and computing technologies; sensors and actuators; microcontrollers; data communication technology; introduction to data analysis and data visualization; designing web applications; and hands‐on IoT-based projects.",4 units,None
TAE,Agricultural & Environmental Technology (TAE),TAE 092,Internship in Agricultural & Environmental Technology,Supervised internship in agricultural and environmental technology.,1-12 units,Consent of instructor.
TAE,Agricultural & Environmental Technology (TAE),TAE 098,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
TAE,Agricultural & Environmental Technology (TAE),TAE 099,Special Study for Lower Division Students,Special study for lower division students.,1-5 units,Consent of instructor.
TAE,Agricultural & Environmental Technology (TAE),TAE 100,Smart Control Systems for Agricultural & Environmental Technologies,"Smart devices that communicate, sense their environment, and control their environment. Application examples include smart plant & animal care, and irrigation & fertigation. Technologies include Supervisory Control & Data Acquisition (SCADA) and Programmable Logic Controllers (PLCs) for applications in agricultural, environmental, and food sciences.",4 units,TAE 030
TAE,Agricultural & Environmental Technology (TAE),TAE 121,Controlled Environments for Plants & Animals,"Principles of environmental control (temperature, humidity, lighting, CO2, air circulation, air quality) for plants and animals. Psychrometrics and applications. Energy-efficient building envelopes for greenhouses, vertical farmings, and animal barns. Heating, ventilation, and air-conditioning (HVAC) systems, lighting and CO2 enrichment systems, growing substrates, and irrigation systems. Control systems (sensors and sensing for automated control). Visiting controlled environment facilities.",4 units,Upper division standing in Agricultural  Environmental Technology; or consent of instructor.
TAE,Agricultural & Environmental Technology (TAE),TAE 198,Directed Group Study,Directed group study.>,1-5 units,Consent of instructor.
TAE,Agricultural & Environmental Technology (TAE),TAE 199,Special Study for Upper Division Students,Special study for advanced undergraduates.,1-5 units,Consent of instructor.
ARE,Agricultural & Resource Econ (ARE),ARE 001,Economic Basis of the Agricultural Industry,"Agriculture and man; the agricultural industry in U.S. and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing California. Not currently offered.",4 units,None
ARE,Agricultural & Resource Econ (ARE),ARE 001S,Economic Basis of the Agricultural Industry,"Agriculture and man; the agricultural industry in Australia and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing Australia. May be taught abroad in Australia under the supervision of a UC Davis faculty member. Not currently offered.",4 units,None
ARE,Agricultural & Resource Econ (ARE),ARE 015,"Population, Environment & World Agriculture","Economic analysis of interactions among population, environment, natural resources and development of world agriculture. Introduces students to economic thinking about population growth, its causes and consequences for world food demand, and environmental and technological limits to increasing food supplies. Not currently offered.",4 units,None
ARE,Agricultural & Resource Econ (ARE),ARE 018,Business Law,"This version has ended; see updated course, below.Course Description: General principles of business law in the areas of contracts, business organization, real property, uniform commercial code, sales, commercial paper, employment relations, and creditor-debtor against a background of the history and functioning of our present legal system.",4 units,Sophomore standing.
ARE,Agricultural & Resource Econ (ARE),ARE 098,Directed Group Study,Directed group study.,1-5 units,Consent of instructor.
ARE,Agricultural & Resource Econ (ARE),ARE 099,Special Study for Undergraduates,Special study for undergraduates.,1-5 units,Consent of instructor.
ARE,Agricultural & Resource Econ (ARE),ARE 100A,Intermediate Microeconomics: Theory of Production & Consumption,"Theory of individual consumer and market demand; theory of production and supply of agricultural products, with particular reference to the individual firm; price determination, and employment of resources under pure competition.",4 units,"ECN 001A, ECN 001AY, ECN 001AV, ECN 001B, ECN 001BV, MAT 016A, MAT 016B, MAT 016C, MAT 017A, MAT 017B, MAT 021A, MAT 021B"
ARE,Agricultural & Resource Econ (ARE),ARE 100B,"Intermediate Microeconomics: Imperfect Competition, Markets & Welfare Economics","Price determination, and employment of resources under conditions of monopoly, oligopoly, and monopolistic competition.",4 units,"ARE 100A, ECN 001A, ECN 001AY, ECN 001AV, ECN 001B, ECN 001BV, MAT 016A, MAT 016B, MAT 016C, MAT 017A, MAT 017B, MAT 021A, MAT 021B, ARE 018"
ARE,Agricultural & Resource Econ (ARE),ARE 106,Econometric Theory & Applications,"This version has ended; see updated course, below.Course Description: Statistical methods for analyzing data to solve problems in managerial economics. Topics include the linear regression model, methods to resolve data problems, and the economic interpretation of results.",4 units,"ARE 100A, STA 013, STA 013Y, STA 103, PLS 021, PLS 021V, ECS 032A"
ARE,Agricultural & Resource Econ (ARE),ARE 107,Econometrics for Business Decisions,Covers state-of-the art econometric and statistical methods for causal and predictive modeling with applications to finance and marketing.,4 units,"ARE 100A, ARE 106, STA 013, STA 013Y, STA 103"
ARE,Agricultural & Resource Econ (ARE),ARE 112,Fundamentals of Organization Management,"Role of organizational design and behavior in business and public agencies. Principles of planning, decision making, individual behavior, management, leadership, informal groups, conflict and change in the organization. May be taught abroad.",4 units,Upper division standing recommended.
ARE,Agricultural & Resource Econ (ARE),ARE 113,Fundamentals of Marketing Management,"Nature of product marketing by the business firm. Customer-product relationships, pricing and demand; new product development and marketing strategy; promotion and advertising; product life cycles; the distribution system; manufacturing, wholesaling, retailing. Government regulation and restraints.",4 units,"ECN 001A, ECN 001AY, ECN 001AV"
ARE,Agricultural & Resource Econ (ARE),ARE 115A,Economic Development,"Major issues encountered in emerging from international poverty, problems of growth and structural change, human welfare, population growth and health, labor markets and internal migration. Important issues of policy concerning international trade and industrialization.",4 units,"ECN 001A, ECN 001AY, ECN 001AV, ECN 001B, ECN 001BV"
ARE,Agricultural & Resource Econ (ARE),ARE 115B,Economic Development,"Macroeconomic issues of developing countries. Issues include problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Important issues of policy concerning international borrowing and external debt of developing countries.",4 units,"ECN 001A, ECN 001AY, ECN 001AV, ECN 001B, ECN 001BV"
ARE,Agricultural & Resource Econ (ARE),ARE 115BY,Economic Development,"Macroeconomic issues of developing countries. Problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Issues of policy concerning international borrowing and external debt of developing countries.",4 units,"ECN 001A, ECN 001AY, ECN 001AV, ECN 001B, ECN 001BV"
ARE,Agricultural & Resource Econ (ARE),ARE 118,Tax Accounting,"Development and application of a framework to understand the tax effects of typical management decisions on both entities and their owners. Impacts that different methods of taxation have on business entities with emphasis on tax planning, using income and deduction strategies, retirement plans, and choice of business entity for tax minimization. Irregularly offered.",4 units,"MGT 011A, MGT 011B, ARE 018"
ARE,Agricultural & Resource Econ (ARE),ARE 119,Intermediate Managerial Accounting,"Use of accounting information by mangers in decision making, planning, directing and controlling operations. Focuses on managerial/cost accounting theory and practice. Covers costing systems, budgeting, and financial statement analysis.",4 units,"MGT 011A, MGT 011B"
ARE,Agricultural & Resource Econ (ARE),ARE 120,Agricultural Policy,Analytical treatment of historical and current economic problems and governmental policies influencing American agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of American agriculture.,4 units,ARE 100A
ARE,Agricultural & Resource Econ (ARE),ARE 120S,Agricultural Policy,Analytical treatment of historical and current economic problems and governmental policies influencing agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of agriculture. May be taught abroad in Australia under the supervision of a UC Davis faculty member. Not currently offered.,4 units,ARE 100A
